code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.600026,2026-06-15,28.2903,2026-06-16,26.0271,STOP,2,-0.08,-0.083558,52
sh.600026,2026-07-15,22.4559,2026-07-24,24.3087,MA,8,0.082508,0.078771,84
sh.600029,2018-07-02,14.0682,2018-07-03,12.9427,STOP,2,-0.08,-0.083395,62
sh.600032,2026-06-30,7.1805,2026-07-09,6.6061,STOP,8,-0.08,-0.083451,83
sh.600051,2024-02-07,18.8149,2024-02-28,22.66,MA,10,0.204365,0.200496,986
sh.600052,2019-05-08,10.258,2019-06-13,10.1918,MA,26,-0.006452,-0.010025,200
sh.600052,2022-04-28,11.0743,2022-05-16,13.1638,MA,10,0.188679,0.184893,837
sh.600052,2024-02-07,10.5171,2024-02-08,9.6465,STOP,2,-0.082781,-0.086214,986
sh.600052,2024-02-20,10.9699,2024-02-27,13.0594,MA,6,0.190476,0.186678,226
sh.600052,2025-01-08,14.77,2025-02-05,15.5103,MA,15,0.050119,0.046416,298
sh.600053,2018-06-21,37.6897,2018-07-11,34.6745,STOP,15,-0.08,-0.083707,348
sh.600053,2020-02-06,54.4982,2020-02-17,64.2243,MA,8,0.178468,0.173865,53
sh.600053,2021-10-14,32.1347,2021-11-05,32.6086,MA,17,0.014747,0.011188,51
sh.600055,2018-10-22,65.8401,2018-11-01,79.7396,MA,9,0.211111,0.206776,282
sh.600055,2022-03-17,290.7335,2022-03-24,316.7566,MA,6,0.089508,0.086352,122
sh.600055,2022-04-28,203.5988,2022-05-23,224.1826,MA,15,0.1011,0.097923,837
sh.600055,2024-02-02,145.0498,2024-02-05,133.4458,STOP,2,-0.08,-0.083069,171
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.027283,348
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.040614,144
sh.600063,2026-07-24,62.334,2026-08-04,65.8474,MA,8,0.056364,0.052175,72
sh.600111,2020-02-05,133.2249,2020-02-19,151.6623,MA,11,0.138393,0.134935,525
sh.600111,2026-07-15,619.5826,2026-07-20,570.016,STOP,4,-0.08,-0.08286,84
sh.600113,2018-02-09,23.6807,2018-03-06,27.1658,MA,13,0.14717,0.143393,234
sh.600113,2018-10-18,18.4726,2018-10-19,16.9948,STOP,2,-0.08,-0.083463,78
sh.600113,2022-04-28,23.4047,2022-05-17,25.3721,MA,11,0.084058,0.080364,837
sh.600113,2024-02-07,20.1239,2024-02-08,18.0973,STOP,2,-0.100707,-0.104298,986
sh.600113,2024-02-20,21.3683,2024-02-27,23.6793,MA,6,0.108153,0.104321,226
sh.600114,2019-05-16,31.181,2019-05-28,32.0626,MA,9,0.028274,0.024662,56
sh.600114,2022-04-28,31.1653,2022-05-19,33.4681,MA,13,0.073892,0.070211,837
sh.600114,2024-01-24,62.503,2024-01-29,57.5028,STOP,4,-0.08,-0.08398,148
sh.600114,2025-04-10,98.0383,2025-04-24,101.7988,MA,11,0.038358,0.03478,463
sh.600114,2026-07-15,173.2886,2026-07-16,159.4255,STOP,2,-0.08,-0.082957,84
sh.600115,2019-05-15,6.3385,2019-06-04,6.3073,MA,15,-0.004918,-0.008462,86
sh.600115,2026-03-25,4.5496,2026-04-09,4.7597,MA,11,0.046189,0.042573,73
sh.600117,2025-01-07,4.5899,2025-02-10,4.738,MA,19,0.032258,0.028672,128
sh.600118,2018-02-13,290.8567,2018-03-02,314.9318,MA,9,0.082773,0.079628,103
sh.600118,2020-04-02,447.3302,2020-04-08,484.7344,MA,4,0.083617,0.08047,63
sh.600119,2017-04-27,37.3139,2017-05-05,34.3288,STOP,6,-0.08,-0.08372,62
sh.600119,2017-05-25,28.6614,2017-06-07,31.3653,MA,8,0.09434,0.090535,82
sh.600119,2018-02-09,20.7678,2018-03-02,24.3273,MA,11,0.171399,0.167438,234
sh.600119,2018-06-21,18.2127,2018-06-22,16.3565,STOP,2,-0.101918,-0.105364,348
sh.600119,2018-10-22,14.2383,2018-11-02,17.2519,MA,10,0.211656,0.207836,282
sh.600119,2022-05-05,13.7142,2022-05-20,14.7187,MA,12,0.073248,0.069597,87
sh.600120,2022-04-28,210.9029,2022-05-20,224.7227,MA,14,0.065527,0.062412,837
sh.600120,2025-04-09,339.1765,2025-04-30,372.1431,MA,16,0.097196,0.094026,136
sh.600121,2020-02-06,7.168,2020-02-21,7.7773,MA,12,0.085,0.081299,53
sh.600121,2026-06-30,12.9025,2026-07-21,14.0852,MA,16,0.091667,0.087922,83
sh.600125,2017-05-10,104.4892,2017-05-18,109.6507,MA,7,0.049398,0.045866,52
sh.600125,2019-05-09,91.6541,2019-06-06,84.3218,STOP,21,-0.08,-0.083471,144
sh.600126,2026-06-10,30.5923,2026-06-24,28.145,STOP,10,-0.08,-0.08347,51
sh.600128,2018-06-21,14.1727,2018-07-10,14.8109,MA,14,0.045031,0.041456,348
sh.600128,2018-10-22,11.1357,2018-11-01,12.104,MA,9,0.086957,0.083204,282
sh.600128,2019-05-15,16.8135,2019-05-24,17.4737,MA,8,0.039267,0.035519,86
sh.600128,2022-04-28,15.0881,2022-05-17,16.7471,MA,11,0.109955,0.106186,837
sh.600128,2024-02-20,14.8566,2024-02-28,17.8325,MA,7,0.200311,0.196388,226
sh.600129,2022-05-05,36.8888,2022-05-11,43.229,MA,5,0.171875,0.167762,87
sh.600129,2024-01-24,85.7664,2024-01-25,78.9051,STOP,2,-0.08,-0.083546,148
